년도,학교명,설립유형,지역명,입학정원,졸업생수,전임교원수,재학생,신입생경쟁률,신입생충원율,취업률,외국인학생수,전임교원1인당학생수,전임교원확보율,전임교원강의담당비율,학생1인당연간장학금,연평균등록금,학생1인당교육비,기숙사수용율,학생1인당도서자료수
2022,부경대학교,국립,부산,3270 ,3870 ,615 ,15213 ,8.4 ,99.8 ,50.6 ,1130 ,28.02 ,70.45 ,66.4 ,2641364.2 ,4034.8 ,16126.9 ,24.4 ,72.7 
2022,부산가톨릭대학교,사립,부산,735 ,924 ,143 ,3740 ,7.1 ,93.7 ,66.9 ,165 ,26.69 ,73.71 ,79.6 ,4419252.6 ,6843.9 ,13551.1 ,13.2 ,101.0 
2022,부산대학교,국립,부산,4257 ,4832 ,1413 ,19258 ,12.4 ,99.7 ,55.6 ,994 ,20.74 ,89.83 ,58.9 ,2796801.2 ,4461.9 ,21478.9 ,21.1 ,92.4 
2022,부산외국어대학교,사립,부산,1660 ,1775 ,247 ,6897 ,4.4 ,82.3 ,59.0 ,823 ,31.86 ,77.43 ,70.6 ,3147735.5 ,6250.7 ,10035.3 ,23.0 ,108.1 
2022,부산장신대학교,사립,경남,32 ,64 ,19 ,143 ,1.6 ,100.0 ,45.2 ,1 ,30.05 ,118.75 ,71.2 ,5076327.2 ,5774.8 ,10883.4 ,65.8 ,173.9 
2022,삼육대학교,사립,서울,1137 ,1297 ,215 ,5332 ,11.1 ,100.1 ,67.0 ,131 ,24.98 ,74.14 ,61.9 ,3912563.3 ,7760.9 ,13130.8 ,23.3 ,85.5 
2022,상명대학교,사립,서울,1379 ,1535 ,266 ,6305 ,11.9 ,100.0 ,62.9 ,861 ,25.67 ,75.57 ,80.8 ,3441802.3 ,7712.0 ,13905.2 ,8.7 ,89.2 
2022,상명대학교-제2캠퍼스,사립,충남,1367 ,1334 ,217 ,5554 ,8.9 ,99.9 ,68.7 ,155 ,25.59 ,76.68 ,82.7 ,3708861.7 ,8101.5 ,0.0 ,19.3 ,0.0 
2022,상지대학교,사립,강원,2118 ,1276 ,292 ,6248 ,3.8 ,69.3 ,65.8 ,152 ,31.11 ,90.40 ,75.7 ,3335386.1 ,7171.6 ,11815.8 ,13.6 ,102.0 
2022,서강대학교,사립,서울,1574 ,1969 ,400 ,7974 ,20.1 ,99.4 ,71.9 ,1941 ,32.11 ,69.57 ,59.5 ,2693522.5 ,7944.5 ,17889.6 ,12.9 ,116.6 
